platform,command,params,result,elapsed_ms,implementation,status_before,status_after,return_value,warnings,exception
mock_codrone_edu,connect,,PASS,5.24,NATIVE,DISCONNECTED,CONNECTED,,,
mock_codrone_edu,takeoff,,PASS,20.22,NATIVE,CONNECTED,FLYING,,,
mock_codrone_edu,hover,duration=3.0,PASS,30.46,NATIVE,FLYING,FLYING,,,
mock_codrone_edu,move,"direction=FORWARD, distance=50, speed=30",PASS,25.33,NATIVE,FLYING,FLYING,,,
mock_codrone_edu,turn,degrees=90,PASS,4.96,NATIVE,FLYING,FLYING,,,
mock_codrone_edu,get_battery,,PASS,1.14,NATIVE,FLYING,FLYING,90,,
mock_codrone_edu,get_height,,PASS,0.59,NATIVE,FLYING,FLYING,1.0,,
mock_codrone_edu,set_led,"color=LEDColor(red=255, green=0, blue=0, brightness=100)",PASS,1.07,NATIVE,FLYING,FLYING,,,
mock_codrone_edu,get_battery_2,,PASS,0.56,NATIVE,FLYING,FLYING,90,,
mock_codrone_edu,land,,PASS,20.36,NATIVE,FLYING,CONNECTED,,,
mock_codrone_edu,disconnect,,PASS,1.72,NATIVE,CONNECTED,DISCONNECTED,,,
mock_coding_rider,connect,,PASS,8.43,NATIVE,DISCONNECTED,CONNECTED,,,
mock_coding_rider,takeoff,,PASS,25.3,NATIVE,CONNECTED,FLYING,,,
mock_coding_rider,hover,duration=3.0,PASS,30.71,NATIVE,FLYING,FLYING,,,
mock_coding_rider,move,"direction=FORWARD, distance=50, speed=30",PASS,3.15,NATIVE,FLYING,FLYING,,,
mock_coding_rider,turn,degrees=90,PASS,5.78,NATIVE,FLYING,FLYING,,,
mock_coding_rider,get_battery,,PASS,1.8,COMPENSATORY,FLYING,FLYING,90,get_battery via async->sync event bridge (DataType.State),
mock_coding_rider,get_height,,PASS,1.65,COMPENSATORY,FLYING,FLYING,1.0,get_height via async->sync event bridge (DataType.Altitude),
mock_coding_rider,set_led,"color=LEDColor(red=255, green=0, blue=0, brightness=100)",PASS,1.07,NATIVE,FLYING,FLYING,,,
mock_coding_rider,get_battery_2,,PASS,1.66,COMPENSATORY,FLYING,FLYING,90,get_battery via async->sync event bridge (DataType.State),
mock_coding_rider,land,,PASS,25.47,NATIVE,FLYING,CONNECTED,,,
mock_coding_rider,disconnect,,PASS,2.28,NATIVE,CONNECTED,DISCONNECTED,,,
mock_wizwing,connect,,PASS,3.16,NATIVE,DISCONNECTED,CONNECTED,,,
mock_wizwing,takeoff,,PASS,23.34,NATIVE,CONNECTED,FLYING,,,
mock_wizwing,hover,duration=3.0,PASS,31.14,COMPENSATORY,FLYING,FLYING,,WIZWING hover emulated via time.sleep (no native hover command),
mock_wizwing,move,"direction=FORWARD, distance=50, speed=30",PASS,3.14,NATIVE,FLYING,FLYING,,,
mock_wizwing,turn,degrees=90,PASS,6.01,NATIVE,FLYING,FLYING,,,
mock_wizwing,get_battery,,PASS,2.47,NATIVE,FLYING,FLYING,90,,
mock_wizwing,get_height,,PASS,2.57,NATIVE,FLYING,FLYING,1.0,,
mock_wizwing,set_led,"color=LEDColor(red=255, green=0, blue=0, brightness=100)",PASS,2.19,COMPENSATORY,FLYING,FLYING,,"WIZWING set_led: only 'funled' preset cycle available; RGB=(255,0,0) ignored",
mock_wizwing,get_battery_2,,PASS,2.85,NATIVE,FLYING,FLYING,90,,
mock_wizwing,land,,PASS,23.17,NATIVE,FLYING,CONNECTED,,,
mock_wizwing,disconnect,,PASS,0.75,NATIVE,CONNECTED,DISCONNECTED,,,
